Name,Framed Image,Album Image,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
K.K. Salsa,https://acnhcdn.com/latest/FtrIcon/mjk_Salsa.png,https://acnhcdn.com/latest/Audio/mjk_Salsa.png,3200,800,103,Brown,Red,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Salsa,2417,hMAkxLymhpg5Zt6Xm
K.K. Samba,https://acnhcdn.com/latest/FtrIcon/mjk_Samba.png,https://acnhcdn.com/latest/Audio/mjk_Samba.png,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Samba,2414,XYFSnTG8QFbGXZJ79
K.K. Ska,https://acnhcdn.com/latest/FtrIcon/mjk_Ska.png,https://acnhcdn.com/latest/Audio/mjk_Ska.png,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Ska,2420,TMiRa4nHYSbtCx4Em
K.K. Slack-Key,https://acnhcdn.com/latest/FtrIcon/mjk_Slackkey.png,https://acnhcdn.com/latest/Audio/mjk_Slackkey.png,3200,800,103,Brown,Red,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Slackkey,7659,gChZYnRCG8qsFg6yt
K.K. Sonata,https://acnhcdn.com/latest/FtrIcon/mjk_Sonata.png,https://acnhcdn.com/latest/Audio/mjk_Sonata.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Sonata,2479,zxHYzEN2Q7gt5JYMm
K.K. Song,https://acnhcdn.com/latest/FtrIcon/mjk_KekeSong.png,https://acnhcdn.com/latest/Audio/mjk_KekeSong.png,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_KekeSong,2457,xjLPmvzuXaBSZx4Fy
K.K. Soul,https://acnhcdn.com/latest/FtrIcon/mjk_Soul.png,https://acnhcdn.com/latest/Audio/mjk_Soul.png,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Soul,2438,mXvujh5YZscWL5pKg
K.K. Steppe,https://acnhcdn.com/latest/FtrIcon/mjk_Cossack.png,https://acnhcdn.com/latest/Audio/mjk_Cossack.png,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Cossack,2426,mGhDWyj7f83gryu4g
K.K. Stroll,https://acnhcdn.com/latest/FtrIcon/mjk_Osanpo.png,https://acnhcdn.com/latest/Audio/mjk_Osanpo.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Osanpo,2481,QmR5zsjrqjsYdDcYy
K.K. Swing,https://acnhcdn.com/latest/FtrIcon/mjk_Swing.png,https://acnhcdn.com/latest/Audio/mjk_Swing.png,3200,800,103,Brown,Beige,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Swing,2408,BxCLYKFj8yeJMqxwD
K.K. Synth,https://acnhcdn.com/latest/FtrIcon/mjk_Electronica.png,https://acnhcdn.com/latest/Audio/mjk_Electronica.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Electronica,2493,S7sa9ugfRSHNPr9zX
K.K. Tango,https://acnhcdn.com/latest/FtrIcon/mjk_Tango.png,https://acnhcdn.com/latest/Audio/mjk_Tango.png,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Tango,2421,9gwFYo6HKxqfxnimX
K.K. Technopop,https://acnhcdn.com/latest/FtrIcon/mjk_TechnoBeat.png,https://acnhcdn.com/latest/Audio/mjk_TechnoBeat.png,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_TechnoBeat,2442,opZrX852viqZH7RJX
K.K. Waltz,https://acnhcdn.com/latest/FtrIcon/mjk_Waltz.png,https://acnhcdn.com/latest/Audio/mjk_Waltz.png,3200,800,103,Brown,Red,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Waltz,2407,pYKWYuRTejcTphjzd
K.K. Western,https://acnhcdn.com/latest/FtrIcon/mjk_Western.png,https://acnhcdn.com/latest/Audio/mjk_Western.png,3200,800,103,Brown,Gray,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Western,2452,AnjsMygxJozFjZCGC
King K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Daimyo.png,https://acnhcdn.com/latest/Audio/mjk_Daimyo.png,3200,800,103,Brown,Yellow,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Daimyo,2466,B6siK6dLxCJACfGZY
Lucky K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Irish.png,https://acnhcdn.com/latest/Audio/mjk_Irish.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Irish,2424,jCGA9eAgRjkLuNf2q
Marine Song 2001,https://acnhcdn.com/latest/FtrIcon/mjk_HunaUta2001.png,https://acnhcdn.com/latest/Audio/mjk_HunaUta2001.png,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_HunaUta2001,2468,F8BvgZMycRgAjJv2A
Mountain Song,https://acnhcdn.com/latest/FtrIcon/mjk_Alpine.png,https://acnhcdn.com/latest/Audio/mjk_Alpine.png,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Alpine,2467,5gDvnQ4uLnLwL85MK
Mr. K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Sensei.png,https://acnhcdn.com/latest/Audio/mjk_Sensei.png,3200,800,103,Brown,Beige,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Sensei,2453,tGCobmkpe7AKsPmyn
My Place,https://acnhcdn.com/latest/FtrIcon/mjk_BokuNoBasho.png,https://acnhcdn.com/latest/Audio/mjk_BokuNoBasho.png,3200,800,103,Brown,Green,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_BokuNoBasho,2460,gQvdSw38P4QZwpkCh
Neapolitan,https://acnhcdn.com/latest/FtrIcon/mjk_Napolitan.png,https://acnhcdn.com/latest/Audio/mjk_Napolitan.png,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Napolitan,2469,GDhwzHPsaEws6ciix
Only Me,https://acnhcdn.com/latest/FtrIcon/mjk_OnlyMe.png,https://acnhcdn.com/latest/Audio/mjk_OnlyMe.png,3200,800,103,Brown,Gray,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_OnlyMe,2444,wwhnr7dEdx36E8SRv
Pondering,https://acnhcdn.com/latest/FtrIcon/mjk_KangaeChu.png,https://acnhcdn.com/latest/Audio/mjk_KangaeChu.png,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_KangaeChu,2463,Gkk2Ck8DK627tiZkS
Rockin' K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_RocknRoll.png,https://acnhcdn.com/latest/Audio/mjk_RocknRoll.png,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_RocknRoll,2432,asXTn3mfi7tzowcuj
Soulful K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Gospel.png,https://acnhcdn.com/latest/Audio/mjk_Gospel.png,3200,800,103,Brown,Orange,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Gospel,2437,g2F79ptmGzFrrFf55
Space K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Minimal.png,https://acnhcdn.com/latest/Audio/mjk_Minimal.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Minimal,2483,WbnqF3FqDQYJwfXed
Spring Blossoms,https://acnhcdn.com/latest/FtrIcon/mjk_HaruNoKomorebi.png,https://acnhcdn.com/latest/Audio/mjk_HaruNoKomorebi.png,3200,800,103,Brown,Pink,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_HaruNoKomorebi,2476,q4ZmbxwwgjaNzvR4e
Stale Cupcakes,https://acnhcdn.com/latest/FtrIcon/mjk_BlueOnigiri.png,https://acnhcdn.com/latest/Audio/mjk_BlueOnigiri.png,3200,800,103,Brown,Blue,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_BlueOnigiri,2475,wh9i62k97gw3B34ER
Steep Hill,https://acnhcdn.com/latest/FtrIcon/mjk_NiDanZaka.png,https://acnhcdn.com/latest/Audio/mjk_NiDanZaka.png,3200,800,103,Brown,Orange,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_NiDanZaka,2470,v3WHjrpgdgeZ3jaFC
Surfin' K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Eleki.png,https://acnhcdn.com/latest/Audio/mjk_Eleki.png,3200,800,103,Brown,Blue,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Eleki,2446,HEX474yLBRZ5xY5Pv
The K. Funk,https://acnhcdn.com/latest/FtrIcon/mjk_Funk.png,https://acnhcdn.com/latest/Audio/mjk_Funk.png,3200,800,103,Brown,Orange,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Funk,2435,8ciaF2Yxuhc5Jqpar
To the Edge,https://acnhcdn.com/latest/FtrIcon/mjk_NamiNami.png,https://acnhcdn.com/latest/Audio/mjk_NamiNami.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_NamiNami,2462,P5ABGwMHvnYiFHcQN
Two Days Ago,https://acnhcdn.com/latest/FtrIcon/mjk_Ototoi.png,https://acnhcdn.com/latest/Audio/mjk_Ototoi.png,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Ototoi,2459,AzAHbHLA9oY2ihxrq
Wandering,https://acnhcdn.com/latest/FtrIcon/mjk_Horo.png,https://acnhcdn.com/latest/Audio/mjk_Horo.png,3200,800,103,Brown,Gray,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Horo,2477,eDgjD4iS8sHZ64k3k
Welcome Horizons,https://acnhcdn.com/latest/FtrIcon/mjk_MainTheme.png,https://acnhcdn.com/latest/Audio/mjk_MainTheme.png,NFS,800,103,Brown,None,1x1,K.K. concert,Received on your first time seeing K.K. perform,NA,NA,Not for sale,1.0.0,Yes,mjk_MainTheme,4318,eBR8TwgdbAKWEQc3T
