Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Sort Order,Label Themes,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge3.png,Blue,No,1100,275,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Simple,3,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassDoublebridge3,277,11078,fD5pteAQtC8CMhq2v
double-bridge glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDoublebridge1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDoublebridge1.png,Purple,No,1100,275,51,Purple,Purple,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,Winter,Free,Free,Elegant,Simple,4,comfy; vacation; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassDoublebridge1,277,11076,guPGRuhMyqdWYKh8d
drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw3.png,White,No,560,140,51,White,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Simple,1,party,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthStraw3,865,11012,bQ67Xe7cQZ4PcXnNe
drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw2.png,Pink,No,560,140,51,Pink,Pink,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Simple,2,party,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthStraw2,865,11011,b4G7SFYMTs5YWJ4i5
drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw0.png,Green,No,560,140,51,Green,Green,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Simple,3,party,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthStraw0,865,5773,hMiEGoaE2jYb6kY4e
drinking-straw glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthStraw1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthStraw1.png,Blue,No,560,140,51,Aqua,Aqua,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Active,Simple,4,party,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthStraw1,865,11010,DNij9RhiMW39MtKWF
elegant masquerade mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMasquerade0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMasquerade0.png,Red,No,1040,260,51,Red,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,NA,Free,Free,Elegant,Gorgeous,1,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassMasquerade0,937,6057,48Ao7rDAaG7MPK8wm
elegant masquerade mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMasquerade1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMasquerade1.png,Blue,No,1040,260,51,Blue,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,NA,Free,Free,Elegant,Gorgeous,2,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassMasquerade1,937,11175,ZfcPkSRN7NXkrEZH9
eye gauze,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGauze0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGauze0.png,NA,No,140,35,51,White,White,1x1,NA,NA,Able Sisters,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,1,goth; comfy,AccessoryOneEye,Yes,For sale,2.0.0,Yes,AccessoryGlassGauze0,1254,12975,jEvMDCmwP5ebW7gh6
eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask2.png,Gray,No,560,140,51,Gray,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,1,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask2,358,11155,FFAmL82w7xmtQyj49
eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask5.png,Red,No,560,140,51,Red,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,2,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask5,358,11158,DN9e9e3kPAvftJL7X
eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask1.png,Pink,No,560,140,51,Pink,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,3,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask1,358,11154,Ck7jeovxpJEQa9BXB
eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask4.png,Orange,No,560,140,51,Orange,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,4,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask4,358,11157,Gy2FEnpkD9KrRshtd
eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask3.png,Green,No,560,140,51,Green,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,5,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask3,358,11156,csWKsYtw2k9ADBQpT
eye mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassMask0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassMask0.png,Blue,No,560,140,51,Blue,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,6,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassMask0,358,4425,68oXMszxbRtGoe9tH
eye patch,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassPatchBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassPatchBlack.png,NA,No,140,35,51,Black,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,1,fairy tale; goth,AccessoryOneEye,Yes,For sale,1.0.0,Yes,AccessoryGlassPatchBlack,380,4457,iZoTNGb8htGE8JWEw
facial mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthPackWhite.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPackWhite.png,NA,No,560,140,51,White,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,1,goth; comfy,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthPackWhite,417,4512,KzBY9kLtwTHhHGzR3
fake nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthNoseRed.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthNoseRed.png,NA,No,490,122,51,Red,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryEyeMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryGlassmouthNoseRed,407,4496,chP2wAyDtdSTS3XrF
flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower0.png,Red,No,770,192,51,Red,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,1,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassFlower0,857,5739,iJsQqLTdb4gcPwekJ
flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower1.png,Orange,No,770,192,51,Orange,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,Summer,Free,Free,Cute,Active,2,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassFlower1,857,11228,6TygyrRpgFEJRtYAD
flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower4.png,Green,No,770,192,51,Green,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Free,Cute,Active,3,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassFlower4,857,11231,vnNLfafLRpv9vrESq
flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower2.png,Blue,No,770,192,51,Blue,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,4,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassFlower2,857,11229,g4jdQJuTAwEgGWsyH
flower sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassFlower3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassFlower3.png,Purple,No,770,192,51,Purple,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,5,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassFlower3,857,11230,hN8mRmSqAqfBBXqsK
food mess,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthPasta.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthPasta.png,NA,No,490,122,51,Orange,Beige,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Cute,1,comfy,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthPasta,904,5857,ErTpS7LHoG7hZ4bvn
funny glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassEyes1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassEyes1.png,Pink,No,1100,275,51,Pink,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassEyes1,418,11008,4ASpkj55QiocnNkZ2
funny glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassEyes2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassEyes2.png,Blue,No,1100,275,51,Aqua,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,2,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassEyes2,418,11009,dio9gmQCebNSjSX89
funny glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassEyes0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassEyes0.png,Brown,No,1100,275,51,Brown,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,3,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassEyes0,418,4513,nvgwq4bKZzDoiTQzw
gas mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthGasmask0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthGasmask0.png,Black,No,1100,275,51,Black,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,1,goth; work,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthGasmask0,487,4649,cuqWQPfsbkmXz5DuB
gas mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthGasmask1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthGasmask1.png,Avocado,No,1100,275,51,Green,Green,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,2,goth; work,AcceEyeMouth,No,For sale,1.0.0,Yes,AccessoryGlassmouthGasmask1,487,11160,9K9ea2sRHMsPmcX6d
glass-bottle glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBottleBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBottleBlack.png,NA,No,1100,275,51,Black,Gray,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,1,comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassBottleBlack,286,4282,JFtffcGH7WnPnJKtc
goatee,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeardChinBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeardChinBlack.png,NA,No,980,245,51,Colorful,Colorful,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,Summer,Free,Free,Cool,Simple,1,everyday; comfy; theatrical,AccessoryMouthEarJaw,No,For sale,1.0.0,Yes,AccessoryMouthBeardChinBlack,502,4676,W5S7BC9qA4QMCQEFR
goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles0.png,Black,No,560,140,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Active,Active,1,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassGoggles0,378,4454,3YkDq5TZm3jE8nBL9
goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles5.png,Red,No,560,140,51,Red,Red,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Active,Active,2,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassGoggles5,378,11488,P8X4Rnuc6WjHTrbkz
goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles2.png,Pink,No,560,140,51,Pink,Pink,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Active,Active,3,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassGoggles2,378,11485,49s9b7jcrE8uaFEdR
goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles3.png,Green,No,560,140,51,Green,Green,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Active,Active,4,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassGoggles3,378,11486,sDjZobRoupcETEKeH
goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles1.png,Blue,No,560,140,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Active,Active,5,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassGoggles1,378,11484,gozwdhewwK4PmPGFQ
goggles,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassGoggles4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassGoggles4.png,Purple,No,560,140,51,Purple,Purple,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Summer (shopping),No,Summer,Summer,NA,Free,Free,Active,Active,6,outdoorsy; sporty; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassGoggles4,378,11487,kwS6ErrZHdDNXpmbR
handlebar mustache,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeardBlack.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeardBlack.png,NA,No,1120,280,51,Colorful,Colorful,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,All Year,Free,Free,Elegant,Gorgeous,1,fairy tale; formal; theatrical,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBeardBlack,185,3550,HJfvmuhPDFMN8eRB2
heart shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassHeart0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart0.png,Pink,No,1040,260,51,Pink,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,Summer,Free,Free,Cute,Active,1,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassHeart0,259,4237,ZkwfoAxXwqiJav677
heart shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassHeart1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart1.png,Yellow,No,1040,260,51,Yellow,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,2,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassHeart1,259,11188,jvPC7gmEHvxxgmwfA
heart shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassHeart4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart4.png,Green,No,1040,260,51,Green,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,3,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassHeart4,259,11191,CbiyKw9gGsMfYzA4g
heart shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassHeart2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart2.png,Blue,No,1040,260,51,Aqua,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,4,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassHeart2,259,11189,k2fF9yEC5S3XGsXhX
heart shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassHeart3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHeart3.png,Purple,No,1040,260,51,Purple,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,5,party; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassHeart3,259,11190,3fs7r8mBn9EiGmMT7
HMD,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassHmdWhite.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassHmdWhite.png,NA,No,2000,500,51,White,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,1,comfy,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassHmdWhite,614,5182,Hkcb2b5RCvgcXrHvc
jester's mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthPierrot0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPierrot0.png,Black,No,1760,440,51,Black,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,1,fairy tale; goth; party; theatrical; work,AccessoryEyeMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryGlassmouthPierrot0,504,4678,5iGdajwpPAQ98B9eE
jester's mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthPierrot1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPierrot1.png,Red,No,1760,440,51,Red,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,2,fairy tale; goth; party; theatrical; work,AccessoryEyeMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryGlassmouthPierrot1,504,11166,7HBtvdHttSMJiuA7W
jester's mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthPierrot2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPierrot2.png,Green,No,1760,440,51,Green,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,3,fairy tale; goth; party; theatrical; work,AccessoryEyeMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryGlassmouthPierrot2,504,11167,LTCnc3SoDzsffayDr
jester's mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassmouthPierrot3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassmouthPierrot3.png,Blue,No,1760,440,51,Blue,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,4,fairy tale; goth; party; theatrical; work,AccessoryEyeMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryGlassmouthPierrot3,504,11168,Kpyk7xszcwxgdawqA
Labelle sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassKate1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate1.png,Midnight,No,2000,500,351,Black,Black,1x1,NA,NA,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Cool,1,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassKate1,1137,11776,Pk4syNKBscFTBD2mP
Labelle sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassKate2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate2.png,Passion,No,2000,500,351,Red,Red,1x1,NA,NA,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Cool,2,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassKate2,1137,11777,TJqYcpQKFaPX6naSj
Labelle sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassKate5.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate5.png,Love,No,2000,500,351,Pink,Pink,1x1,NA,NA,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Cool,3,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassKate5,1137,11780,WHaB5ZbzSPteM5KxG
Labelle sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassKate4.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate4.png,Sunset,No,2000,500,351,Yellow,Yellow,1x1,NA,NA,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Cool,4,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassKate4,1137,11779,Km6htuKWbDhQx5v2o
Labelle sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassKate3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate3.png,Ocean,No,2000,500,351,Blue,Blue,1x1,NA,NA,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Cool,5,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassKate3,1137,11778,yWuQ9CtGKLaG7ntW9
Labelle sunglasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassKate0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassKate0.png,Twilight,No,2000,500,351,Purple,Purple,1x1,NA,NA,Label,Added to Able Sisters stock rotation the day after receiving this item from Label,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Cool,6,everyday; formal; party; theatrical; vacation,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassKate0,1137,9887,2B4ttG2NJS7ZKRimP
ladder shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBlind0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBlind0.png,Red,No,880,220,51,Red,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,1,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassBlind0,387,4464,DErjYKaqmFEkp7RQ3
ladder shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBlind3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBlind3.png,Pink,No,880,220,51,Pink,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,All Year,Free,Free,Active,Active,2,party; theatrical,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassBlind3,387,11004,8wvE7HfG9HvK33nTW
