Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
fedora,https://acnhcdn.com/latest/ClosetIcon/CapHatFelt2.png,https://acnhcdn.com/latest/FtrIcon/CapHatFelt2.png,Green,No,1100,275,51,Green,Black,1x1,990,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Cool,Elegant,everyday; formal; work,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatFelt2,662,11046,nwx3eQHk7YjNCAHzw
fedora,https://acnhcdn.com/latest/ClosetIcon/CapHatFelt0.png,https://acnhcdn.com/latest/FtrIcon/CapHatFelt0.png,Beige,No,1100,275,51,Beige,Brown,1x1,990,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,Summer,Free,Free,Cool,Elegant,everyday; formal; work,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatFelt0,662,5301,JBBdsfZAd7BjXcyko
Festivale accessory,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTSamba1.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTSamba1.png,Red,No,2240,560,51,Red,Red,1x1,2000,Poki,Able Sisters,Available from Able Sisters shop only,Festivale (days before); Festivale,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,party; theatrical; vacation,1,HeadHairOrnament_Back,Yes,For sale,1.7.0,Yes,CapOrnamentTSamba1,1013,9732,Z8DYcnsWjkpkk6xct
Festivale accessory,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTSamba3.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTSamba3.png,Green,No,2240,560,51,Green,Green,1x1,2000,Poki,Able Sisters,Available from Able Sisters shop only,Festivale (days before); Festivale,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,party; theatrical; vacation,2,HeadHairOrnament_Back,Yes,For sale,1.7.0,Yes,CapOrnamentTSamba3,1013,9734,hbK4PGvoJMY99QeHj
Festivale accessory,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTSamba0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTSamba0.png,Blue,No,2240,560,51,Blue,Blue,1x1,2000,Poki,Able Sisters,Available from Able Sisters shop only,Festivale (days before); Festivale,Yes,All Year,All Year,All Year,Free,Free,Gorgeous,Gorgeous,party; theatrical; vacation,3,HeadHairOrnament_Back,Yes,For sale,1.7.0,Yes,CapOrnamentTSamba0,1013,2612,PWCfaWNeBiiu6wcCz
Festivale accessory,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentTSamba2.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentTSamba2.png,Purple,No,2240,560,51,Purple,Purple,1x1,2000,Poki,Able Sisters,Available from Able Sisters shop only,Festivale (days before); Festivale,Yes,All Year,All Year,All Year,Free,Free,Gorgeous,Gorgeous,party; theatrical; vacation,4,HeadHairOrnament_Back,Yes,For sale,1.7.0,Yes,CapOrnamentTSamba2,1013,9733,5SJFEXmCCj3WnMZBD
firefighter's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsFirefighter0.png,https://acnhcdn.com/latest/FtrIcon/CapBangsFirefighter0.png,Black,No,1680,420,51,Black,Black,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,work,1,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsFirefighter0,698,5374,cR8NwZTuWmdYG35Jj
firefighter's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsFirefighter1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsFirefighter1.png,Flame orange,No,1680,420,51,Orange,Black,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,work,2,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsFirefighter1,698,11617,ojPEDB7k3osmjq82R
firefighter's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsFirefighter3.png,https://acnhcdn.com/latest/FtrIcon/CapBangsFirefighter3.png,Lime yellow,No,1680,420,51,Yellow,Black,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,work,3,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsFirefighter3,698,11619,8T8xo8DZHyEuWTPAo
firefighter's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsFirefighter4.png,https://acnhcdn.com/latest/FtrIcon/CapBangsFirefighter4.png,Avocado,No,1680,420,51,Green,Black,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,work,4,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsFirefighter4,698,11620,fXaWtDi9ugKd7CvfL
firefighter's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsFirefighter2.png,https://acnhcdn.com/latest/FtrIcon/CapBangsFirefighter2.png,Brown,No,1680,420,51,Brown,Black,1x1,1500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,work,5,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsFirefighter2,698,11618,47iL65Sp7sTq2dw6Y
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy6.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy6.png,White,No,2340,585,51,White,White,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Elegant,everyday; party; theatrical,1,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLGaudy6,1042,10847,yQpkhzDDYowAwfiPF
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy2.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy2.png,Black,No,2340,585,51,Black,Gray,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Elegant,everyday; party; theatrical,2,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLGaudy2,1042,10843,KmZhyAbsJeBkdsPaL
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy0.png,Pink,No,2340,585,51,Pink,Purple,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Elegant,everyday; party; theatrical,3,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLGaudy0,1042,8611,qMr5rv9p6nKMWpn6W
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy4.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy4.png,Orange,No,2340,585,51,Orange,Yellow,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Elegant,everyday; party; theatrical,4,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLGaudy4,1042,10845,jwxxG5ozBHRSq8wee
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy5.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy5.png,Green,No,2340,585,51,Green,Green,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Elegant,everyday; party; theatrical,5,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLGaudy5,1042,10846,YcYK3wi8wihn3LWMm
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy1.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy1.png,Blue,No,2340,585,51,Blue,Aqua,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Elegant,everyday; party; theatrical,6,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLGaudy1,1042,10842,JrGYYeC2rDuLtcuKX
flashy hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLGaudy3.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLGaudy3.png,Purple,No,2340,585,51,Purple,Purple,1x1,2100,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Gorgeous,Elegant,everyday; party; theatrical,7,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLGaudy3,1042,10844,JuXNKBGSRgoHmATrq
flashy pointy-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweentriangle2.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweentriangle2.png,White,No,1120,280,51,White,Aqua,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,1,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweentriangle2,1273,13419,JSbSikvZYmPfztS28
flashy pointy-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweentriangle5.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweentriangle5.png,Black,No,1120,280,51,Black,Green,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,2,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweentriangle5,1273,13422,Zg6q5DTAPjMPuYSix
flashy pointy-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweentriangle4.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweentriangle4.png,Red,No,1120,280,51,Red,Black,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,3,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweentriangle4,1273,13421,FzdSMwpoYqtFtcnSY
flashy pointy-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweentriangle0.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweentriangle0.png,Orange,No,1120,280,51,Orange,Yellow,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,4,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweentriangle0,1273,13023,YgwhZBLaceLiLvSAY
flashy pointy-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweentriangle3.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweentriangle3.png,Green,No,1120,280,51,Green,Blue,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,5,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweentriangle3,1273,13420,CbkSuqNoZS97t5zWi
flashy pointy-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweentriangle1.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweentriangle1.png,Purple,No,1120,280,51,Purple,Pink,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,6,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweentriangle1,1273,13418,s4v7SrW2mvkMJCZSm
flashy round-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweenround2.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweenround2.png,White,No,1120,280,51,White,Aqua,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,1,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweenround2,1274,13424,L2t75cLXm6in9f8P7
flashy round-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweenround5.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweenround5.png,Black,No,1120,280,51,Black,Green,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,2,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweenround5,1274,13427,NDcX79KSvMkDuhmBP
flashy round-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweenround4.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweenround4.png,Red,No,1120,280,51,Red,Black,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,3,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweenround4,1274,13426,PsHDTkm7HkYLtLEA7
flashy round-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweenround0.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweenround0.png,Orange,No,1120,280,51,Orange,Yellow,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,4,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweenround0,1274,13024,t6pFbBtkwmcmnvypN
flashy round-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweenround3.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweenround3.png,Green,No,1120,280,51,Green,Blue,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,5,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweenround3,1274,13425,CYF3WPsvppp7zarFd
flashy round-ear animal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatHalloweenround1.png,https://acnhcdn.com/latest/FtrIcon/CapHatHalloweenround1.png,Purple,No,1120,280,51,Purple,Pink,1x1,1000,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,fairy tale; goth; party,6,HeadCap,Yes,For sale,1.5.0,Yes,CapHatHalloweenround1,1274,13423,ewrDxQJG49ddPTeSM
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin0.png,Pink,No,490,122,51,Pink,Pink,1x1,440,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,everyday; fairy tale,1,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLFlowerhairpin0,1105,9854,8Jddb8tpAJ9dCFNhR
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin3.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin3.png,Yellow,No,490,122,51,Yellow,Orange,1x1,440,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,everyday; fairy tale,2,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLFlowerhairpin3,1105,11961,bcbeTcynoeqp7yk9M
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin2.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin2.png,Green,No,490,122,51,Green,Green,1x1,440,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,everyday; fairy tale,3,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLFlowerhairpin2,1105,11960,T3TwnGGaSJcMWTXTh
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin1.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin1.png,Blue,No,490,122,51,Blue,Blue,1x1,440,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,everyday; fairy tale,4,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLFlowerhairpin1,1105,11959,dgTtevqFfurYfYBQh
floral hairpin,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentLFlowerhairpin4.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentLFlowerhairpin4.png,Purple,No,490,122,51,Purple,Purple,1x1,440,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Cute,everyday; fairy tale,5,HeadHairOrnament_Left,Yes,For sale,1.0.0,Yes,CapOrnamentLFlowerhairpin4,1105,11962,noggDuHahWHjjMMTa
flower bopper,https://acnhcdn.com/latest/ClosetIcon/CapOrnamentFFlowerband0.png,https://acnhcdn.com/latest/FtrIcon/CapOrnamentFFlowerband0.png,NA,No,NFS,245,251,Aqua,Gray,1x1,NA,NA,Isabelle,,Fireworks Show (1); Fireworks Show (2); Fireworks Show (3); Fireworks Show (4); Fireworks Show (5),Yes,All Year,All Year,NA,Free,Free,Cute,Gorgeous,fairy tale; party; theatrical,1,HeadHairOrnament_Front,Yes,Not for sale,1.4.0,Yes,CapOrnamentFFlowerband0,1109,9858,ut6Mpg5beqMZbHCx5
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball1.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball1.png,White,No,1440,360,51,White,Black,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,1,HeadFullFace,No,For sale,1.0.0,Yes,CapFullfaceFootball1,697,11604,BqaKYDQcnYuGkhqiX
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball7.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball7.png,Black,No,1440,360,51,Black,White,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,2,HeadFullFace,No,For sale,1.0.0,Yes,CapFullfaceFootball7,697,11610,jZBkWeTG9x88Db6qF
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball3.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball3.png,Berry red,No,1440,360,51,Red,White,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,3,HeadFullFace,No,For sale,1.0.0,Yes,CapFullfaceFootball3,697,11606,z7NnWCTf5ZCitpECu
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball6.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball6.png,Red,No,1440,360,51,Orange,Black,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,4,HeadFullFace,No,For sale,1.0.0,Yes,CapFullfaceFootball6,697,11609,kocqTA3FPgXfmvj35
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball2.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball2.png,Yellow,No,1440,360,51,Yellow,Black,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,5,HeadFullFace,No,For sale,1.0.0,Yes,CapFullfaceFootball2,697,11605,BytzMWFtdrWWBbSoo
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball0.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball0.png,Green,No,1440,360,51,Green,White,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,6,HeadFullFace,No,For sale,1.0.0,Yes,CapFullfaceFootball0,697,5373,PydL8RyPvCHkw25Gu
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball5.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball5.png,Turquoise,No,1440,360,51,Green,Black,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,7,HeadFullFace,No,For sale,1.0.0,Yes,CapFullfaceFootball5,697,11608,j5hCTq5yhHnh252uh
football helmet,https://acnhcdn.com/latest/ClosetIcon/CapFullfaceFootball4.png,https://acnhcdn.com/latest/FtrIcon/CapFullfaceFootball4.png,Blue,No,1440,360,51,Blue,White,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,sporty; work,8,HeadFullFace,No,For sale,1.0.0,Yes,CapFullfaceFootball4,697,11607,jxqjGgzngsgwDEiLf
fox mask,https://acnhcdn.com/latest/ClosetIcon/CapMaskFox0.png,https://acnhcdn.com/latest/FtrIcon/CapMaskFox0.png,White,No,1400,350,51,White,Red,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,goth; theatrical,1,HeadFace,Yes,For sale,1.0.0,Yes,CapMaskFox0,917,6034,hvuy2ff7D5HmQDWhP
fox mask,https://acnhcdn.com/latest/ClosetIcon/CapMaskFox1.png,https://acnhcdn.com/latest/FtrIcon/CapMaskFox1.png,Black,No,1400,350,51,Black,Red,1x1,1300,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cool,Cool,goth; theatrical,2,HeadFace,Yes,For sale,1.0.0,Yes,CapMaskFox1,917,11171,zERfZuwMz99moPjmM
frog cap,https://acnhcdn.com/latest/ClosetIcon/CapCostumeFrog0.png,https://acnhcdn.com/latest/FtrIcon/CapCostumeFrog0.png,Green,No,1120,280,51,Green,Green,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,fairy tale; party; theatrical,1,Headgear_NoEarNoJaw,No,For sale,1.0.0,Yes,CapCostumeFrog0,687,5335,2o34Cs7NhTHdiAA2J
frog cap,https://acnhcdn.com/latest/ClosetIcon/CapCostumeFrog2.png,https://acnhcdn.com/latest/FtrIcon/CapCostumeFrog2.png,Red,No,1120,280,51,Red,Red,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,fairy tale; party; theatrical,2,Headgear_NoEarNoJaw,No,For sale,1.0.0,Yes,CapCostumeFrog2,687,11698,o8tC4pEQPnv7ShYJs
frog cap,https://acnhcdn.com/latest/ClosetIcon/CapCostumeFrog3.png,https://acnhcdn.com/latest/FtrIcon/CapCostumeFrog3.png,Yellow,No,1120,280,51,Yellow,Yellow,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,fairy tale; party; theatrical,3,Headgear_NoEarNoJaw,No,For sale,1.0.0,Yes,CapCostumeFrog3,687,11699,roQnkD6zXyDrsjDRx
frog cap,https://acnhcdn.com/latest/ClosetIcon/CapCostumeFrog1.png,https://acnhcdn.com/latest/FtrIcon/CapCostumeFrog1.png,Blue,No,1120,280,51,Aqua,Aqua,1x1,1000,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Active,fairy tale; party; theatrical,4,Headgear_NoEarNoJaw,No,For sale,1.0.0,Yes,CapCostumeFrog1,687,11697,oppZjp8fdNEbvCeWy
frugal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatSimple1.png,https://acnhcdn.com/latest/FtrIcon/CapHatSimple1.png,Green,No,350,87,51,Green,Green,1x1,320,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,fairy tale; goth,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatSimple1,663,11846,zB2YwDPXFAkqrfWGo
frugal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatSimple2.png,https://acnhcdn.com/latest/FtrIcon/CapHatSimple2.png,Blue-gray,No,350,87,51,Blue,Blue,1x1,320,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,fairy tale; goth,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatSimple2,663,11847,XvM7B98w2X54g4838
frugal hat,https://acnhcdn.com/latest/ClosetIcon/CapHatSimple0.png,https://acnhcdn.com/latest/FtrIcon/CapHatSimple0.png,Brown,No,350,87,51,Brown,Brown,1x1,320,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,fairy tale; goth,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatSimple0,663,5299,ryjuAa957xkyQ9Crx
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya6.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya6.png,Black,No,NFS,1350,451,Black,Colorful,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Elegant,theatrical; work,1,Headgear_HasEar,No,Not for sale,1.0.0,Yes,CapWigGeisya6,836,9746,JKW7jE3fFnXoH6vyB
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya0.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya0.png,Red,No,NFS,1350,451,Red,Colorful,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Elegant,theatrical; work,2,Headgear_HasEar,No,Not for sale,1.0.0,Yes,CapWigGeisya0,836,5695,fGEdJDfBN5EEhBjFj
geisha wig,https://acnhcdn.com/latest/ClosetIcon/CapWigGeisya1.png,https://acnhcdn.com/latest/FtrIcon/CapWigGeisya1.png,Pink,No,NFS,1350,451,Pink,Colorful,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Womanly,Cute,Elegant,theatrical; work,3,Headgear_HasEar,No,Not for sale,1.0.0,Yes,CapWigGeisya1,836,9741,HZxA8fN7NH8kMfH4P
