Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
dry bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDry0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDry0.png,Yellow,No,1040,260,23,Yellow,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Active,outdoorsy; sporty,1,No,For sale,1.0.0,Yes,BagBackpackDry0,963,7471,iwTpuxykXjSBi8b9a
dry bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackDry1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackDry1.png,Blue,No,1040,260,23,Blue,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Active,outdoorsy; sporty,2,No,For sale,1.0.0,Yes,BagBackpackDry1,963,11964,cMoNDoZx2sdfD6Haz
electronics-store paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperelectric0.png,Yellow,No,600,150,23,Black,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,1,No,For sale,2.0.0,Yes,ToolBagPaperelectric0,1509,14871,M65CNMLJZo3LtmqHu
electronics-store paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperelectric1.png,Light blue,No,600,150,23,Black,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,2,No,For sale,2.0.0,Yes,ToolBagPaperelectric1,1509,727,7riTnD4QxLS7mWNEf
electronics-store paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperelectric3.png,Red,No,600,150,23,White,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,3,No,For sale,2.0.0,Yes,ToolBagPaperelectric3,1509,733,ZadzNjXhQ5Kz7Fk3K
electronics-store paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperelectric2.png,Blue,No,600,150,23,White,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,4,No,For sale,2.0.0,Yes,ToolBagPaperelectric2,1509,732,edjyRTLaHPTzWg8ro
evening bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderParty2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderParty2.png,Black,No,1250,312,23,Black,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Elegant,formal; party,1,No,For sale,1.0.0,Yes,BagShoulderParty2,986,11977,x9Z63uLS8cHdsoczj
evening bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderParty0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderParty0.png,Pink,No,1250,312,23,Pink,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Elegant,formal; party,2,No,For sale,1.0.0,Yes,BagShoulderParty0,986,7305,tZhGqzKpEeEweTZi7
evening bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderParty1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderParty1.png,Blue,No,1250,312,23,Blue,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Elegant,formal; party,3,No,For sale,1.0.0,Yes,BagShoulderParty1,986,11976,SoJkNi7GNiW28tYuG
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain2.png,Black,No,2100,525,23,Black,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Active,outdoorsy; sporty,1,No,For sale,1.0.0,Yes,BagBackpackMountain2,994,11972,HqReXLwGPigWMiJbS
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain0.png,Red,No,2100,525,23,Red,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Active,outdoorsy; sporty,2,No,For sale,1.0.0,Yes,BagBackpackMountain0,994,7505,sjT2tZJCMpWQNmhTy
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain1.png,Green,No,2100,525,23,Green,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Active,outdoorsy; sporty,3,No,For sale,1.0.0,Yes,BagBackpackMountain1,994,11971,MKeBKrETSTs4tyrg4
extra-large backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMountain3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMountain3.png,Blue,No,2100,525,23,Blue,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Active,outdoorsy; sporty,4,No,For sale,1.0.0,Yes,BagBackpackMountain3,994,11973,vvEqA5aMBGyycpQFz
faux-fur bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderFakefur0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderFakefur0.png,Pink,No,1400,350,23,Pink,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Gorgeous,formal; party,1,No,For sale,1.0.0,Yes,BagShoulderFakefur0,968,7480,FyneYzGmHW7SyoHn7
faux-fur bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderFakefur1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderFakefur1.png,Purple,No,1400,350,23,Purple,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Gorgeous,formal; party,2,No,For sale,1.0.0,Yes,BagShoulderFakefur1,968,12003,gH3fn5rkmCrekWoJB
fish pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderFish0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderFish0.png,NA,No,NFS,210,501,Aqua,Blue,1x1,NA,NA,C.J.,,Fishing Tourney (Spring); Fishing Tourney (Summer); Fishing Tourney (Fall); Fishing Tourney (Winter),Yes,All Year,All Year,Free,Cute,Cute,everyday; vacation,1,No,Not for sale,1.0.0,Yes,BagShoulderFish0,965,7477,CrFcdF3rXiaiiajEB
fish-print eco bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagEcofish0.png,NA,No,840,210,23,Aqua,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,1,No,For sale,2.0.0,Yes,ToolBagEcofish0,1518,14812,RscrhCWf5CvRDEnai
flower-print eco bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagEcoflower0.png,NA,No,840,210,23,Green,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,1,No,For sale,2.0.0,Yes,ToolBagEcoflower0,1520,14814,BAedK8v5HuLFKfJy5
foldover-top backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackLid2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackLid2.png,Gray,No,1300,325,23,Gray,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,outdoorsy; sporty,1,No,For sale,1.0.0,Yes,BagBackpackLid2,996,12017,Z8WFCNZodHtW2DBPB
foldover-top backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackLid3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackLid3.png,Pink,No,1300,325,23,Pink,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,outdoorsy; sporty,2,No,For sale,1.0.0,Yes,BagBackpackLid3,996,12018,nD9TYBr8sw4rhLAyG
foldover-top backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackLid0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackLid0.png,Green,No,1300,325,23,Green,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,outdoorsy; sporty,3,No,For sale,1.0.0,Yes,BagBackpackLid0,996,7507,nkXJ2eRThdt4vEpFb
foldover-top backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackLid1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackLid1.png,Blue,No,1300,325,23,Blue,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,outdoorsy; sporty,4,No,For sale,1.0.0,Yes,BagBackpackLid1,996,12016,M8i2DNwxgXKWADAtW
furoshiki bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagFuroshiki0.png,Green,No,880,220,23,Green,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,1,No,For sale,2.0.0,Yes,ToolBagFuroshiki0,1506,14788,td2wyyAvEKwKfCrZv
furoshiki bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagFuroshiki4.png,White,No,880,220,23,White,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,2,No,For sale,2.0.0,Yes,ToolBagFuroshiki4,1506,559,MvqQF3sRB3GdHdPfK
furoshiki bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagFuroshiki3.png,Red,No,880,220,23,Red,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,3,No,For sale,2.0.0,Yes,ToolBagFuroshiki3,1506,558,boBJzJaghhDEWiGWM
furoshiki bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagFuroshiki2.png,Purple,No,880,220,23,Purple,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,4,No,For sale,2.0.0,Yes,ToolBagFuroshiki2,1506,557,HHbiZTGsShYYzTmNe
furoshiki bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagFuroshiki1.png,Blue,No,880,220,23,Blue,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,5,No,For sale,2.0.0,Yes,ToolBagFuroshiki1,1506,556,m8WYKKKvAr2LYjrPQ
furoshiki bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagFuroshiki5.png,Gold,No,880,220,23,Yellow,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,6,No,For sale,2.0.0,Yes,ToolBagFuroshiki5,1506,560,HhkZdM86Ph5yTe3Go
grape-harvest basket,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHarvest0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHarvest0.png,NA,No,800,200,201,Brown,Purple,1x1,NA,NA,Nook Shopping Seasonal,,Grape Harvest Festival,Yes,All Year,All Year,Free,Simple,Active,everyday; fairy tale; outdoorsy; party,1,No,Seasonal,1.4.0,Yes,BagBackpackHarvest0,1233,12797,w3sCtnjHaNJwLD3vk
gumdrop shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderPattern0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderPattern0.png,Pop,No,2000,500,23,Pink,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,everyday; comfy,1,No,For sale,1.0.0,Yes,BagShoulderPattern0,974,7486,mQZCwxcr6z3hq5Dgm
gumdrop shoulder bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderPattern1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderPattern1.png,Cool,No,2000,500,23,Purple,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,everyday; comfy,2,No,For sale,1.0.0,Yes,BagShoulderPattern1,974,12012,JxHQbqWH73Q3GYKT8
hand-knit pouch,https://acnhcdn.com/latest/ClosetIcon/BagShoulderRace0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderRace0.png,Green,No,1250,312,23,Green,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Elegant,Simple,vacation,1,No,For sale,1.0.0,Yes,BagShoulderRace0,970,7482,taTKqY3xif2LhShrf
hand-knit pouch,https://acnhcdn.com/latest/ClosetIcon/BagShoulderRace1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderRace1.png,Purple,No,1250,312,23,Purple,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Elegant,Simple,vacation,2,No,For sale,1.0.0,Yes,BagShoulderRace1,970,12004,GLLrMeJCPd8Xn7fdr
hard-shell backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHardshell2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHardshell2.png,Silver,No,1680,420,23,Gray,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Active,outdoorsy; work,1,No,For sale,1.0.0,Yes,BagBackpackHardshell2,1001,11946,yxnDx8JQqzZDM66oR
hard-shell backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHardshell1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHardshell1.png,Red,No,1680,420,23,Red,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Active,outdoorsy; work,2,No,For sale,1.0.0,Yes,BagBackpackHardshell1,1001,10184,qdP3rmZ7P7HgA2cin
hard-shell backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHardshell0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHardshell0.png,Blue,No,1680,420,23,Blue,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Active,outdoorsy; work,3,No,For sale,1.0.0,Yes,BagBackpackHardshell0,1001,7512,LETQjE3yFDKze4ntv
impish wings,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHalloween2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHalloween2.png,White,No,1000,250,23,White,White,1x1,NA,NA,Kicks,,Halloween (days before); Halloween,No,All Year,All Year,Free,Cool,Cool,fairy tale; goth; party,1,No,For sale,1.5.0,Yes,BagBackpackHalloween2,1268,13409,CcDoJoDqXaXyMYBEx
impish wings,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHalloween5.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHalloween5.png,Black,No,1000,250,23,Black,Black,1x1,NA,NA,Kicks,,Halloween (days before); Halloween,No,All Year,All Year,Free,Cool,Cool,fairy tale; goth; party,2,No,For sale,1.5.0,Yes,BagBackpackHalloween5,1268,13412,8v2gEqEZYuMibTdvv
impish wings,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHalloween4.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHalloween4.png,Red,No,1000,250,23,Red,Red,1x1,NA,NA,Kicks,,Halloween (days before); Halloween,No,All Year,All Year,Free,Cool,Cool,fairy tale; goth; party,3,No,For sale,1.5.0,Yes,BagBackpackHalloween4,1268,13411,FZZmBDBcsCn9cx29J
impish wings,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHalloween0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHalloween0.png,Orange,No,1000,250,23,Orange,Orange,1x1,NA,NA,Kicks,,Halloween (days before); Halloween,No,All Year,All Year,Free,Cool,Cool,fairy tale; goth; party,4,No,For sale,1.5.0,Yes,BagBackpackHalloween0,1268,13015,N5Ydq8EZ3TTsKv34c
impish wings,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHalloween3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHalloween3.png,Green,No,1000,250,23,Green,Green,1x1,NA,NA,Kicks,,Halloween (days before); Halloween,No,All Year,All Year,Free,Cool,Cool,fairy tale; goth; party,5,No,For sale,1.5.0,Yes,BagBackpackHalloween3,1268,13410,spWkjYsT4mKfBijAz
impish wings,https://acnhcdn.com/latest/ClosetIcon/BagBackpackHalloween1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackHalloween1.png,Purple,No,1000,250,23,Purple,Purple,1x1,NA,NA,Kicks,,Halloween (days before); Halloween,No,All Year,All Year,Free,Cool,Cool,fairy tale; goth; party,6,No,For sale,1.5.0,Yes,BagBackpackHalloween1,1268,13408,BqyY8XSWSswej9Lap
instrument case,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMusician0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMusician0.png,Black,No,3200,800,23,Black,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday; theatrical,1,No,For sale,2.0.0,Yes,BagBackpackMusician0,1457,14784,AaKYwCqYye3LTXJ6M
instrument case,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMusician1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMusician1.png,White,No,3200,800,23,White,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday; theatrical,2,No,For sale,2.0.0,Yes,BagBackpackMusician1,1457,348,mRrSwn8HihAiaeAxJ
instrument case,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMusician3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMusician3.png,Red,No,3200,800,23,Red,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday; theatrical,3,No,For sale,2.0.0,Yes,BagBackpackMusician3,1457,350,Q5ApP3fGfrB5Zs7F2
instrument case,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMusician4.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMusician4.png,Pink,No,3200,800,23,Pink,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday; theatrical,4,No,For sale,2.0.0,Yes,BagBackpackMusician4,1457,351,HeMTPYQBwfAggepGG
instrument case,https://acnhcdn.com/latest/ClosetIcon/BagBackpackMusician2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackMusician2.png,Blue,No,3200,800,23,Blue,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday; theatrical,5,No,For sale,2.0.0,Yes,BagBackpackMusician2,1457,349,iYGukvfoTnFPytbwJ
jet pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackJet0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackJet0.png,Gray,No,12000,3000,23,Gray,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Cool,everyday; work,1,No,For sale,2.0.0,Yes,BagBackpackJet0,1470,14823,ApcpKi5k7KNHhE8NE
jet pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackJet1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackJet1.png,Black,No,12000,3000,23,Black,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Cool,everyday; work,2,No,For sale,2.0.0,Yes,BagBackpackJet1,1470,581,xgMWqfXbs2YEFci2c
jet pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackJet2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackJet2.png,White,No,12000,3000,23,White,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cool,Cool,everyday; work,3,No,For sale,2.0.0,Yes,BagBackpackJet2,1470,589,yptTpkTmiziQm6eFo
knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackKnapsack1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackKnapsack1.png,Black,No,630,157,23,Black,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,everyday; outdoorsy; sporty,1,No,For sale,1.0.0,Yes,BagBackpackKnapsack1,997,12019,Fx4M2zpFTWGww54rw
knapsack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackKnapsack0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackKnapsack0.png,Blue,No,630,157,23,Blue,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Active,Simple,everyday; outdoorsy; sporty,2,No,For sale,1.0.0,Yes,BagBackpackKnapsack0,997,7508,XbKqQChpAJXng37Mr
knitted-grass backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackGrass0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackGrass0.png,NA,Yes,NFS,400,103,Green,Brown,1x1,NA,NA,Crafting,,NA,NA,All Year,All Year,Free,Elegant,Simple,outdoorsy; comfy; vacation,1,No,Not for sale,1.0.0,Yes,BagBackpackGrass0,1000,7511,xM5iaYn4gbZoR94Qm
leopard-print backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownLeopard0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownLeopard0.png,Brown,No,1680,420,23,Brown,Brown,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,1,No,For sale,2.0.0,Yes,BagBackpackTownLeopard0,1477,14839,YJu7XMsgEYHbjNspM
leopard-print backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownLeopard1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownLeopard1.png,Blue,No,1680,420,23,Gray,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,2,No,For sale,2.0.0,Yes,BagBackpackTownLeopard1,1477,680,Fu6qbBYTgJ8pvn6Tj
leopard-print backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownLeopard2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownLeopard2.png,Pink,No,1680,420,23,Pink,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,3,No,For sale,2.0.0,Yes,BagBackpackTownLeopard2,1477,681,WWwP55fJkgmz7kKBA
leopard-print backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownLeopard3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownLeopard3.png,Yellow,No,1680,420,23,Yellow,Orange,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,4,No,For sale,2.0.0,Yes,BagBackpackTownLeopard3,1477,684,2LPTCEmfSkEoT3fBC
log pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackWood0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackWood0.png,NA,Yes,NFS,960,103,Brown,Beige,1x1,NA,NA,Crafting,,NA,NA,All Year,All Year,Free,Simple,Simple,fairy tale; outdoorsy; work,1,No,Not for sale,1.0.0,Yes,BagBackpackWood0,987,7498,rDDM48hSfsSbcp92u
logo paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaper0.png,Green,No,600,150,23,Beige,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,1,No,For sale,2.0.0,Yes,ToolBagPaper0,1508,14790,mChGTKJrJqxkRa66G
logo paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaper1.png,Red,No,600,150,23,Beige,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,2,No,For sale,2.0.0,Yes,ToolBagPaper1,1508,297,9SGp2QBxdnaimbyRR
logo paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaper2.png,White,No,600,150,23,Beige,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,3,No,For sale,2.0.0,Yes,ToolBagPaper2,1508,299,BXPAjZrCmnXCZ9A7X
logo tote bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagTotelogo0.png,Gray,No,980,245,23,Gray,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,1,No,For sale,2.0.0,Yes,ToolBagTotelogo0,1516,14857,Aphtjjfeg8wRXbSeH
logo tote bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagTotelogo1.png,Red,No,980,245,23,Red,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,2,No,For sale,2.0.0,Yes,ToolBagTotelogo1,1516,365,Q9ADsNb6Tn4gQjkJG
logo tote bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagTotelogo2.png,Navy blue,No,980,245,23,Blue,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,3,No,For sale,2.0.0,Yes,ToolBagTotelogo2,1516,366,7Yxsk5TnqAR27QQHK
maple-leaf pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderMaple0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderMaple0.png,NA,Yes,NFS,2400,201,Orange,Orange,1x1,NA,NA,Crafting,,maple leaves,Yes,All Year,All Year,Free,Simple,Cute,fairy tale,1,No,Not for sale,1.0.0,Yes,BagShoulderMaple0,979,7491,HJDH4dCPMQY9qQanL
messenger bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderMessenger2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderMessenger2.png,Black,No,840,210,23,Black,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; outdoorsy; sporty,1,No,For sale,1.0.0,Yes,BagShoulderMessenger2,962,11979,ZuwiM4DzJF5Rsg46x
messenger bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderMessenger1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderMessenger1.png,Orange,No,840,210,23,Orange,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; outdoorsy; sporty,2,No,For sale,1.0.0,Yes,BagShoulderMessenger1,962,11978,sgxnCe87EdtdoKved
messenger bag,https://acnhcdn.com/latest/ClosetIcon/BagShoulderMessenger0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderMessenger0.png,Green,No,840,210,23,Green,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; outdoorsy; sporty,3,No,For sale,1.0.0,Yes,BagShoulderMessenger0,962,7470,7mPZ9PnTd46r65DXx
mini pleather bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackSmall0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackSmall0.png,White,No,1600,400,23,White,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Elegant,Elegant,everyday; formal; party,1,No,For sale,1.0.0,Yes,BagBackpackSmall0,993,7504,FyrYDDhzABDegtZ6n
